id,question,answer,supporting_quote,source_pdf,source_pdf_path,question_type,review_status,reviewer_notes,corrected_question,corrected_answer,corrected_quote,gold_chunk_ids
12,"What is the purpose of the question that asks ""What code is in the image?""?",To test whether the visitor is a human and to prevent automated spam submissions.,This question is for testing whether you are a human visitor and to prevent automated spam submission.,03MD945692290C104C5595AEDAC89AE78788.PDF,data\raw\03MD945692290C104C5595AEDAC89AE78788.PDF,multi_hop,,,,,,
13,How does the support ID provided at the beginning of the page compare to the support ID provided at the end of the page?,"They are identical, both being 679480894918427451.",Your support ID is: 679480894918427451.,03MD945692290C104C5595AEDAC89AE78788.PDF,data\raw\03MD945692290C104C5595AEDAC89AE78788.PDF,comparative,,,,,,
14,What action must be performed before a visitor is allowed to view the page content?,The visitor must enable JavaScript.,Please enable JavaScript to view the page content.,03MD945692290C104C5595AEDAC89AE78788.PDF,data\raw\03MD945692290C104C5595AEDAC89AE78788.PDF,temporal,,,,,,
15,What is the support ID provided to the user?,679480894918480058,Your support ID is: 679480894918480058.,04MD5127742FD0914D54B5EC4ECA8076F325.PDF,data\raw\04MD5127742FD0914D54B5EC4ECA8076F325.PDF,exact_identifier,,,,,,
16,What is the purpose of the question asking what code is in the image?,To test whether the visitor is human and to prevent automated spam submission.,This question is for testing whether you are a human visitor and to prevent automated spam submission.,04MD5127742FD0914D54B5EC4ECA8076F325.PDF,data\raw\04MD5127742FD0914D54B5EC4ECA8076F325.PDF,multi_hop,,,,,,
17,"According to the document, is audio supported or not supported in the browser?",Audio is not supported.,Audio is not supported in your browser.,04MD5127742FD0914D54B5EC4ECA8076F325.PDF,data\raw\04MD5127742FD0914D54B5EC4ECA8076F325.PDF,comparative,,,,,,
18,What must be enabled first in order to view the page content?,JavaScript,Please enable JavaScript to view the page content.,04MD5127742FD0914D54B5EC4ECA8076F325.PDF,data\raw\04MD5127742FD0914D54B5EC4ECA8076F325.PDF,temporal,,,,,,
19,What specific question is asked to test if the visitor is human?,What code is in the image?,What code is in the image?,04MD5127742FD0914D54B5EC4ECA8076F325.PDF,data\raw\04MD5127742FD0914D54B5EC4ECA8076F325.PDF,factoid,,,,,,
20,Which specific Master Direction contains the reporting instructions related to the Master Direction on Insurance?,"Master Direction on Reporting (Master Direction No. 18 dated January 01, 2016).","Reporting instructions, if any, can be found in Master Direction on Reporting (Master Direction No. 18 dated January 01, 2016).",05MD56DF4232873F466191DC23F39F1012DD.PDF,data\raw\05MD56DF4232873F466191DC23F39F1012DD.PDF,exact_identifier,,,,,,
21,"Within how many days must a resident policyholder repatriate the maturity proceeds or claim amount of a life insurance policy issued by an insurer outside India, if the premium was paid via remittance from India?",Within a period of seven days from the receipt of the proceeds or claim.,"If the premium due on a life insurance policy has been paid by making remittance from India, the policy holder shall repatriate to India through normal banking channels, the maturity proceeds or amount of any claim due on the policy, within a period of seven days from the receipt thereof.",05MD56DF4232873F466191DC23F39F1012DD.PDF,data\raw\05MD56DF4232873F466191DC23F39F1012DD.PDF,temporal,,,,,,
22,"If a resident of Nepal or Bhutan receives a claim payment in a foreign currency under a general or health insurance policy from an Indian insurer, under what condition is prior approval from the Reserve Bank of India NOT required?",Prior approval is not required if the premium on the policy was also collected in foreign currency.,"Payments in foreign currency towards claims under general/health insurance policies will require prior approval of Reserve Bank, except where premium thereon was also collected in foreign currency.",05MD56DF4232873F466191DC23F39F1012DD.PDF,data\raw\05MD56DF4232873F466191DC23F39F1012DD.PDF,multi_hop,,,,,,
23,How do the settlement rules for claims on rupee life insurance policies differ between foreign nationals who are not permanently resident in India and Indians resident outside India who paid premiums in non-repatriable rupees?,"For foreign nationals not permanently resident in India, claims or maturity proceeds may be paid in rupees or allowed to be remitted abroad. In contrast, for Indians resident outside India whose premiums were collected in non-repatriable rupees, payments may only be paid in rupees by credit to their NRO account.","Claims/maturity proceeds/ surrender value in respect of rupee life insurance policies issued to Indians resident outside India for which premium have been collected in non-repatriable rupees may be paid only in rupees by credit to NRO account of the beneficiary. ... Claims/maturity proceeds/ surrender value in respect of rupee policies issued to foreign nationals not permanently resident in India may be paid in rupees or may be allowed to be remitted abroad, if the claimant so desires.",05MD56DF4232873F466191DC23F39F1012DD.PDF,data\raw\05MD56DF4232873F466191DC23F39F1012DD.PDF,comparative,,,,,,
24,"Under what definition is a person considered ""not permanently resident"" in India for the purpose of foreign exchange regulations relating to life insurance?","A person resident in India for employment of a specified duration (regardless of length) or for a specific job or assignment, where the duration does not exceed three years.","‘Not permanently resident' means a person resident in India for employment of a specified duration (irrespective of length thereof) or for a specific job or assignment, the duration of which does not exceed three years.",05MD56DF4232873F466191DC23F39F1012DD.PDF,data\raw\05MD56DF4232873F466191DC23F39F1012DD.PDF,factoid,,,,,,
25,What are the differences in the required profit-making track record and minimum net worth between a foreign entity establishing a Branch Office (BO) and one establishing a Liaison Office (LO) in India?,"A Branch Office requires a profit-making track record during the immediately preceding five financial years in its home country and a net worth of at least USD 100,000. In contrast, a Liaison Office requires a profit-making track record during the immediately preceding three financial years and a net worth of at least USD 50,000.","For Branch Office — a profit making track record during the immediately preceding five financial years in the home country and net worth of not less than USD 100,000 or its equivalent.

Net Worth [total of paid-up capital and free reserves, less intangible assets as per the latest Audited Balance Sheet or Account Statement certified by a Certified Public Accountant or any Registered Accounts Practitioner by whatever name called].

b. For Liaison Office — a profit making track record during the immediately preceding three financial years in the home country and net worth of not less than USD 50,000 or its equivalent.",06MDE170516F633150EBCFE438084174F7DECCDC20C.PDF,data\raw\06MDE170516F633150EBCFE438084174F7DECCDC20C.PDF,comparative,,,,,,
26,"Within what time frame must a foreign entity open its BO/LO/PO after receiving approval before the approval lapses, and what is the maximum extension the AD Category-I bank can grant?","The BO/LO/PO must be opened within six months from the date of the approval letter, otherwise the approval lapses. If the entity cannot open the office within this timeframe due to reasons beyond its control, the AD Category-I bank may grant an extension of up to an additional six months.","The approval granted by the AD Category I bank should include a proviso to the effect that in case the BO/LO/PO for which approval has been granted is not opened within six months from the date of the approval letter, the approval shall lapse. In cases where the non-resident entity is not able to open the office within the stipulated time frame due to reasons beyond its control, the AD Category-I bank may consider granting extension of time for a further period of six months for setting up the office.",06MDE170516F633150EBCFE438084174F7DECCDC20C.PDF,data\raw\06MDE170516F633150EBCFE438084174F7DECCDC20C.PDF,temporal,,,,,,
27,To which specific official and address must an AD Category-I bank forward an application for opening a BO/LO/PO in India that requires prior approval from the Reserve Bank of India?,"The application must be forwarded to the General Manager, Reserve Bank of India, Central Office Cell, Foreign Exchange Department, 6, Sansad Marg, New Delhi - 110 001.","shall be forwarded by the AD Category-I bank to the General Manager, Reserve Bank of India, Central Office Cell, Foreign Exchange Department, 6, Sansad Marg, New Delhi - 110 001 who shall process the applications in consultation with the Government of India",06MDE170516F633150EBCFE438084174F7DECCDC20C.PDF,data\raw\06MDE170516F633150EBCFE438084174F7DECCDC20C.PDF,exact_identifier,,,,,,
28,"To which authorities must a Project Office (PO) submit its Annual Activity Certificate (AAC), and how does this differ from the submission requirements for a Liaison Office (LO) or Branch Office (BO)?","A Project Office (PO) must submit its AAC only to its designated AD Category-I bank. In contrast, a Liaison Office (LO) or Branch Office (BO) must submit its AAC to both the designated AD Category-I bank and the Director General of Income Tax (International Taxation), New Delhi.","The LO/BO needs to submit the AAC to the designated AD Category -I bank as well as Director General of Income Tax (International Taxation), New Delhi whereas the PO needs to submit the AAC only to the designated AD Category -I bank.",06MDE170516F633150EBCFE438084174F7DECCDC20C.PDF,data\raw\06MDE170516F633150EBCFE438084174F7DECCDC20C.PDF,multi_hop,,,,,,
29,What are the permitted activities for a liaison office in India of a person resident outside India?,"The permitted activities for a liaison office are:
1. Representing the parent company / group companies in India.
2. Promoting export / import from / to India.
3. Promoting technical/ financial collaborations between parent / group companies and companies in India.
4. Acting as a communication channel between the parent company and Indian companies.","Permitted activities for a liaison office in India of a person resident outside India
i. Representing the parent company / group companies in India. 
ii. Promoting export / import from / to India. 
iii. Promoting technical/ financial collaborations between parent / group companies and companies in India. 
iv. Acting as a communication channel between the parent company and Indian companies.",06MDE170516F633150EBCFE438084174F7DECCDC20C.PDF,data\raw\06MDE170516F633150EBCFE438084174F7DECCDC20C.PDF,factoid,,,,,,
30,What is the specific support ID assigned to the visitor?,679480894917383936,Your support ID is: 679480894917383936.,07MIP0101168C51C4CB845342D09E8A4A613B1F1C6D.PDF,data\raw\07MIP0101168C51C4CB845342D09E8A4A613B1F1C6D.PDF,exact_identifier,,,,,,
31,What type of media is stated as not being supported in the visitor's browser?,Audio,Audio is not supported in your browser.,07MIP0101168C51C4CB845342D09E8A4A613B1F1C6D.PDF,data\raw\07MIP0101168C51C4CB845342D09E8A4A613B1F1C6D.PDF,factoid,,,,,,
32,What is the purpose of asking the visitor 'What code is in the image?'?,To test whether the visitor is human and to prevent automated spam submission.,This question is for testing whether you are a human visitor and to prevent automated spam submission.,07MIP0101168C51C4CB845342D09E8A4A613B1F1C6D.PDF,data\raw\07MIP0101168C51C4CB845342D09E8A4A613B1F1C6D.PDF,multi_hop,,,,,,
33,How does the support ID shown at the beginning of the text compare to the support ID shown at the end of the text?,They are identical (679480894917383936).,Your support ID is: 679480894917383936. ... Your support ID is: 679480894917383936 .,07MIP0101168C51C4CB845342D09E8A4A613B1F1C6D.PDF,data\raw\07MIP0101168C51C4CB845342D09E8A4A613B1F1C6D.PDF,comparative,,,,,,
34,What action must occur before a visitor is able to view the page content?,They must enable JavaScript.,Please enable JavaScript to view the page content.,07MIP0101168C51C4CB845342D09E8A4A613B1F1C6D.PDF,data\raw\07MIP0101168C51C4CB845342D09E8A4A613B1F1C6D.PDF,temporal,,,,,,
35,What is the exact support ID identifier displayed to the visitor?,679480894918428651,Your support ID is: 679480894918428651.,08MDROA112016989330DF1FF9494784DAC32B488E6AE4.PDF,data\raw\08MDROA112016989330DF1FF9494784DAC32B488E6AE4.PDF,exact_identifier,,,,,,
36,What is the stated purpose of the question asking what code is in the image?,To test if the visitor is human and to prevent automated spam submission.,This question is for testing whether you are a human visitor and to prevent automated spam submission.,08MDROA112016989330DF1FF9494784DAC32B488E6AE4.PDF,data\raw\08MDROA112016989330DF1FF9494784DAC32B488E6AE4.PDF,multi_hop,,,,,,
37,What browser capability is explicitly identified as not supported?,Audio,Audio is not supported in your browser.,08MDROA112016989330DF1FF9494784DAC32B488E6AE4.PDF,data\raw\08MDROA112016989330DF1FF9494784DAC32B488E6AE4.PDF,comparative,,,,,,
38,What must be enabled first before a user is able to view the page content?,JavaScript,Please enable JavaScript to view the page content.,08MDROA112016989330DF1FF9494784DAC32B488E6AE4.PDF,data\raw\08MDROA112016989330DF1FF9494784DAC32B488E6AE4.PDF,temporal,,,,,,
39,What action does the document request the user to perform in order to view the page content?,Enable JavaScript,Please enable JavaScript to view the page content.,08MDROA112016989330DF1FF9494784DAC32B488E6AE4.PDF,data\raw\08MDROA112016989330DF1FF9494784DAC32B488E6AE4.PDF,factoid,,,,,,
40,What is the specific support ID displayed to the user on the page?,679480894917230428,Your support ID is: 679480894917230428.,09MDD593B2F2D48648C8AB3D37625C9F245D.PDF,data\raw\09MDD593B2F2D48648C8AB3D37625C9F245D.PDF,exact_identifier,,,,,,
41,Why is the user asked to identify the code in the image?,To test whether they are a human visitor and to prevent automated spam submission.,This question is for testing whether you are a human visitor and to prevent automated spam submission.,09MDD593B2F2D48648C8AB3D37625C9F245D.PDF,data\raw\09MDD593B2F2D48648C8AB3D37625C9F245D.PDF,factoid,,,,,,
42,"Based on the document, what requirement must be met to view the page content, and what browser limitation is explicitly mentioned?","JavaScript must be enabled to view the page content, and audio is not supported in the user's browser.",Please enable JavaScript to view the page content. ... Audio is not supported in your browser.,09MDD593B2F2D48648C8AB3D37625C9F245D.PDF,data\raw\09MDD593B2F2D48648C8AB3D37625C9F245D.PDF,multi_hop,,,,,,
43,How does the frequency of the support ID '679480894917230428' compare to the frequency of the word 'submit' in the text?,"The support ID appears twice, whereas the word 'submit' appears only once.",Your support ID is: 679480894917230428. ... submit ... Your support ID is: 679480894917230428 .,09MDD593B2F2D48648C8AB3D37625C9F245D.PDF,data\raw\09MDD593B2F2D48648C8AB3D37625C9F245D.PDF,comparative,,,,,,
44,What action must the user take before they can view the page content?,They must enable JavaScript.,Please enable JavaScript to view the page content.,09MDD593B2F2D48648C8AB3D37625C9F245D.PDF,data\raw\09MDD593B2F2D48648C8AB3D37625C9F245D.PDF,temporal,,,,,,
45,"When do the Reserve Bank of India (Internal Ombudsman) Directions, 2023 come into effect?","December 29, 2023.","These Directions shall come into effect from December 29, 2023 and shall apply to the whole of India.",108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,data\raw\108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,temporal,,,,,,
46,What is the specific email address that regulated entities must use to submit the contact details of their appointed Internal Ombudsman to the Reserve Bank of India?,iocepd@rbi.org.in,"The regulated entities are advised to forward the contact details of the Internal Ombudsman / Deputy Internal Ombudsman to Consumer Education and Protection Department, Central Office, Reserve Bank of India, 1st Floor, Amar Building, Sir P M Road, Fort, Mumbai 400 001 (e-mail: iocepd@rbi.org.in) and ensure to update the same as and when there is any change.",108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,data\raw\108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,exact_identifier,,,,,,
47,How does the minimum required years of experience in relevant fields differ between the appointment of an Internal Ombudsman and a Deputy Internal Ombudsman?,"An Internal Ombudsman requires a minimum of seven years of experience, whereas a Deputy Internal Ombudsman requires a minimum of five years of experience.","The Internal Ombudsman shall either be a retired or serving officer, in the rank equivalent to a General Manager of another bank / Financial Sector Regulatory Body / NBSP / NBFC / CIC, having necessary skills and experience of minimum seven years of working in areas such as banking, non-banking finance, regulation, supervision, payment and settlement systems, credit information or consumer protection;... The Deputy Internal Ombudsman shall either be a retired or serving officer, not below the rank of Deputy General Manager of another bank / Financial Sector Regulatory Body / NBSP / NBFC / CIC, having necessary skills and experience of minimum five years of working in areas such as banking, non-banking finance, regulation, supervision, payment and settlement systems, credit information or consumer protection.",108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,data\raw\108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,comparative,,,,,,
48,"If a regulated entity newly reaches the prescribed eligibility threshold to fall under these Directions, within what timeframe must it establish an Internal Ombudsman framework, and what is the minimum contractual tenure for the appointed officer?","The entity must establish the framework within six months of reaching the threshold, and the officer must be appointed for a fixed term of not less than three years.","Any regulated entity, subsequent to the issue of these Directions, reaching the threshold/s prescribed under clause 4(1) shall come under the ambit of these Directions and hence would be required to put in place an Internal Ombudsman framework within six months of reaching the threshold.... The tenure of the Internal Ombudsman / Deputy Internal Ombudsman in the regulated entity shall be a fixed term of not less than three years, but not exceeding five years.",108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,data\raw\108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,multi_hop,,,,,,
49,"Who is defined as the ""Competent Authority"" for Credit Information Companies under these Directions?",The Managing Director / Chief Executive Officer.,"“Competent Authority” means Executive Director In-charge of customer service for banks, Executive Director / Managing Director / Chief Executive Officer for Non-Banking Financial Companies, Managing Director / Chief Executive Officer for Non-bank System Participants, and Managing Director / Chief Executive Officer for Credit Information Companies;",108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,data\raw\108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF,factoid,,,,,,
50,"What is the specific notification number of the Master Direction issued on January 03, 2024, regarding Commercial Paper and Non-Convertible Debentures?",Notification No. FMRD.DIRD.10/14.02.001/2023-24,"Notification No. FMRD.DIRD.10/14.02.001/2023-24 dated January 03, 2024",109MDCPNCD797F42D139D741169EB58E637B243FF6.PDF,data\raw\109MDCPNCD797F42D139D741169EB58E637B243FF6.PDF,exact_identifier,,,,,,
51,By what specific time on the redemption date must an issuer make the funds for redemption available to the Issuing and Paying Agent (IPA)?,By 3:00 P.M. on the redemption date.,The issuer shall make the funds for redemption available to the IPA by 3:00 P.M. on the redemption date.,109MDCPNCD797F42D139D741169EB58E637B243FF6.PDF,data\raw\109MDCPNCD797F42D139D741169EB58E637B243FF6.PDF,temporal,,,,,,
52,How do Commercial Papers (CPs) and Non-Convertible Debentures (NCDs) compare in terms of their minimum allowed tenor and the minimum period required before a buyback can be initiated?,"A CP must have a minimum tenor of seven days and can only be bought back after seven days from issuance, whereas an NCD must have a minimum tenor of ninety days and can only be bought back after ninety days from issuance.",The tenor of a CP shall not be less than seven days or more than one year. The tenor of an NCD shall not be less than ninety days or more than one year. ... The buyback of CPs can be made only after seven days from the date of issue. The buyback of NCDs can be made only after ninety days from the date of issue.,109MDCPNCD797F42D139D741169EB58E637B243FF6.PDF,data\raw\109MDCPNCD797F42D139D741169EB58E637B243FF6.PDF,comparative,,,,,,
53,What are the two conditions that a co-operative society must satisfy regarding its net-worth and its existing fund-based facilities to be eligible to issue Commercial Papers (CPs)?,"The co-operative society must have a minimum net-worth of ₹100 crore, and all fund-based facilities it has availed from banks, AIFIs, or NBFCs must be classified as Standard at the time of issue.","Co-operative societies and limited liability partnerships with a minimum net-worth of ₹100 crore, may also issue CPs under these Directions, subject to the condition that all fund-based facilities availed, if any, by the issuer from banks/ AIFIs / NBFCs are classified as Standard at the time of issue.",109MDCPNCD797F42D139D741169EB58E637B243FF6.PDF,data\raw\109MDCPNCD797F42D139D741169EB58E637B243FF6.PDF,multi_hop,,,,,,
54,What is the minimum credit rating required for an issuer to issue Commercial Papers (CPs) and Non-Convertible Debentures (NCDs)?,The minimum credit rating must be 'A3' as prescribed by SEBI.,"The minimum credit rating, assigned by a Credit Rating Agency (CRA), for the issuance of CPs and NCDs shall be ‘A3’ as per rating symbol and definition prescribed by SEBI.",109MDCPNCD797F42D139D741169EB58E637B243FF6.PDF,data\raw\109MDCPNCD797F42D139D741169EB58E637B243FF6.PDF,factoid,,,,,,
55,What is the purpose of the question asked on the page?,The question is used to test if the visitor is human and to prevent automated spam submissions.,"This question is for
testing whether you are a human visitor and to prevent automated
spam submission.",111MDONBBPS87BA4103916D4B21AE117F1443020ADB.PDF,data\raw\111MDONBBPS87BA4103916D4B21AE117F1443020ADB.PDF,factoid,,,,,,
56,What is the exact support ID provided to the visitor?,679480894917194961,Your support ID is: 679480894917194961.,111MDONBBPS87BA4103916D4B21AE117F1443020ADB.PDF,data\raw\111MDONBBPS87BA4103916D4B21AE117F1443020ADB.PDF,exact_identifier,,,,,,
57,"What feature is unsupported in the user's browser, and what specific question is asked regarding the image?","Audio is not supported in the browser, and the user is asked ""What code is in the image?"".","Audio is not
supported in your browser.
 
What code is in the image?",111MDONBBPS87BA4103916D4B21AE117F1443020ADB.PDF,data\raw\111MDONBBPS87BA4103916D4B21AE117F1443020ADB.PDF,multi_hop,,,,,,
58,How does the browser's requirement for viewing page content compare to its capability for audio playback?,"The browser requires JavaScript to be enabled to view page content, whereas audio is completely unsupported in the browser.","Please enable JavaScript to view the page content.
Your support ID is: 679480894917194961. This question is for
testing whether you are a human visitor and to prevent automated
spam submission.
 Audio is not
supported in your browser.",111MDONBBPS87BA4103916D4B21AE117F1443020ADB.PDF,data\raw\111MDONBBPS87BA4103916D4B21AE117F1443020ADB.PDF,comparative,,,,,,
59,What must a visitor do before they are able to view the page content?,The visitor must enable JavaScript.,Please enable JavaScript to view the page content.,111MDONBBPS87BA4103916D4B21AE117F1443020ADB.PDF,data\raw\111MDONBBPS87BA4103916D4B21AE117F1443020ADB.PDF,temporal,,,,,,
60,What is the support ID provided to the user?,679480894918431195,Your support ID is: 679480894918431195.,11MDEGS1205163428383952204B77831A3A086E82FDDF.PDF,data\raw\11MDEGS1205163428383952204B77831A3A086E82FDDF.PDF,exact_identifier,,,,,,
61,What is the purpose of testing whether the visitor is human?,To prevent automated spam submission.,This question is for testing whether you are a human visitor and to prevent automated spam submission.,11MDEGS1205163428383952204B77831A3A086E82FDDF.PDF,data\raw\11MDEGS1205163428383952204B77831A3A086E82FDDF.PDF,factoid,,,,,,
62,What must the user do before they are able to view the page content?,They must enable JavaScript.,Please enable JavaScript to view the page content.,11MDEGS1205163428383952204B77831A3A086E82FDDF.PDF,data\raw\11MDEGS1205163428383952204B77831A3A086E82FDDF.PDF,temporal,,,,,,
63,How does the requirement for JavaScript compare to the browser's capability regarding audio?,"JavaScript is a requirement that must be enabled to view the page content, whereas audio is explicitly stated as not supported in the user's browser.",Please enable JavaScript to view the page content. ... Audio is not supported in your browser.,11MDEGS1205163428383952204B77831A3A086E82FDDF.PDF,data\raw\11MDEGS1205163428383952204B77831A3A086E82FDDF.PDF,comparative,,,,,,
64,"What is the support ID, and what is the reason the user is being asked a question?","The support ID is 679480894918431195, and the question is to test if the user is a human visitor and prevent automated spam.",Your support ID is: 679480894918431195. This question is for testing whether you are a human visitor and to prevent automated spam submission.,11MDEGS1205163428383952204B77831A3A086E82FDDF.PDF,data\raw\11MDEGS1205163428383952204B77831A3A086E82FDDF.PDF,multi_hop,,,,,,
65,What is the URL of the portal through which an application for overseas investment under the approval route must be submitted to the Regional Office of the Reserve Bank?,https://pravaah.rbi.org.in/pravaah,The application for overseas investment under the approval route would be submitted to the concerned Regional Office of the Reserve Bank through the relevant form available on the PRAVAAH portal (https://pravaah.rbi.org.in/pravaah).,121MDOI2507202427D16C96B42C4E0B849FFD9732752B68.PDF,data\raw\121MDOI2507202427D16C96B42C4E0B849FFD9732752B68.PDF,exact_identifier,,,,,,
66,Within what timeframe must a person resident in India submit evidence of investment to the AD bank after acquiring equity capital in a foreign entity that is reckoned as ODI?,Within six months.,"A person resident in India acquiring equity capital in a foreign entity, which is reckoned as ODI, shall submit the evidence of investment as per regulation 9(1) of OI Regulations to the AD bank within six months, failing which the funds remitted overseas shall be repatriated within the said period of six months.",121MDOI2507202427D16C96B42C4E0B849FFD9732752B68.PDF,data\raw\121MDOI2507202427D16C96B42C4E0B849FFD9732752B68.PDF,temporal,,,,,,
67,How do the overall overseas investment caps differ between SEBI-registered Mutual Funds (MFs) and Venture Capital Funds (VCFs) or Alternative Investment Funds (AIFs)?,"SEBI-registered Mutual Funds have an overall investment cap of USD 7 billion, whereas Venture Capital Funds and Alternative Investment Funds have an overall cap of USD 1.5 billion.","Mutual Funds (MFs) and Venture Capital Funds (VCFs)/Alternative Investment Funds (AIFs) registered with SEBI may, in accordance with paragraph 2 of schedule IV of OI Rules, invest overseas in securities as stipulated by SEBI within an overall cap of USD 7 billion and USD 1.5 billion, respectively.",121MDOI2507202427D16C96B42C4E0B849FFD9732752B68.PDF,data\raw\121MDOI2507202427D16C96B42C4E0B849FFD9732752B68.PDF,comparative,,,,,,
68,What conditions must an Indian entity satisfy before it can make a financial commitment by way of debt to a foreign entity?,"The Indian entity must be eligible to make ODI, must have already made ODI in the foreign entity, and must have acquired control in the foreign entity on or before the date of making the financial commitment.","An Indian entity may lend or invest in any debt instruments issued by a foreign entity or extend non-fund based commitment to or on behalf of a foreign entity, including overseas SDSs of such Indian entity, subject to the following conditions: a) the Indian entity is eligible to make ODI; b) the Indian entity has made ODI in the foreign entity; c) the Indian entity has acquired control in the foreign entity on or before the date of making such financial commitment.",121MDOI2507202427D16C96B42C4E0B849FFD9732752B68.PDF,data\raw\121MDOI2507202427D16C96B42C4E0B849FFD9732752B68.PDF,multi_hop,,,,,,
69,What is the maximum amount an AD bank may allow a resident to remit towards pre-incorporation expenses per foreign entity?,"Up to a maximum of USD 100,000.","AD bank may allow remittance towards pre-incorporation expenses after satisfying itself of the reasonableness, up to a maximum of USD 100,000 per foreign entity.",121MDOI2507202427D16C96B42C4E0B849FFD9732752B68.PDF,data\raw\121MDOI2507202427D16C96B42C4E0B849FFD9732752B68.PDF,factoid,,,,,,
70,What is the support ID listed on the page?,679480894917903289,Your support ID is: 679480894917903289.,12MDFB8AD1B34BCB4D0A8F6869DA4A53082E.PDF,data\raw\12MDFB8AD1B34BCB4D0A8F6869DA4A53082E.PDF,exact_identifier,,,,,,
71,What specific question is asked to test if the visitor is human?,What code is in the image?,What code is in the image?,12MDFB8AD1B34BCB4D0A8F6869DA4A53082E.PDF,data\raw\12MDFB8AD1B34BCB4D0A8F6869DA4A53082E.PDF,factoid,,,,,,
72,"What is the purpose of the question asked on the page, and what is the specific question asked?","The purpose is to test whether the visitor is human and prevent automated spam, and the question asked is ""What code is in the image?"".",This question is for testing whether you are a human visitor and to prevent automated spam submission. ... What code is in the image?,12MDFB8AD1B34BCB4D0A8F6869DA4A53082E.PDF,data\raw\12MDFB8AD1B34BCB4D0A8F6869DA4A53082E.PDF,multi_hop,,,,,,
